,,,,,,,,,,,CTDPH,2015 Based Population Forecasts,,,
201,Kent,12,67,Litchfield,309,NHCOG,3,NHCOG,R,,427,434,447,461,474
202,Sharon,13,125,Litchfield,319,NHCOG,3,NHCOG,R,,427,429,432,435,439
203,Sharon,13,125,Litchfield,319,NHCOG,3,NHCOG,R,,1529,1535,1547,1559,1570
204,Sharon,13,125,Litchfield,319,NHCOG,3,NHCOG,R,,609,611,616,621,625
205,Sharon,13,125,Litchfield,319,NHCOG,3,NHCOG,R,,141,142,143,144,145
206,Salisbury,14,121,Litchfield,318,NHCOG,3,NHCOG,R,,1258,1263,1274,1281,1287
207,Salisbury,14,121,Litchfield,318,NHCOG,3,NHCOG,R,,742,746,752,756,759
208,Salisbury,14,121,Litchfield,318,NHCOG,3,NHCOG,R,,869,874,881,886,890
209,Salisbury,14,121,Litchfield,318,NHCOG,3,NHCOG,R,,769,773,779,784,787
210,North Canaan,15,99,Litchfield,315,NHCOG,3,NHCOG,R,,1353,1353,1354,1355,1356
211,North Canaan,15,99,Litchfield,315,NHCOG,3,NHCOG,R,,846,846,847,847,848
212,North Canaan,15,99,Litchfield,315,NHCOG,3,NHCOG,R,,412,413,413,413,413
213,North Canaan,15,99,Litchfield,315,NHCOG,3,NHCOG,R,,583,583,583,584,584
214,Canaan,16,21,Litchfield,304,NHCOG,3,NHCOG,R,,585,597,620,642,665
215,Canaan,16,21,Litchfield,304,NHCOG,3,NHCOG,R,,86,88,91,95,98
216,Canaan,16,21,Litchfield,304,NHCOG,3,NHCOG,R,,155,158,164,170,176
217,Canaan,16,21,Litchfield,304,NHCOG,3,NHCOG,R,,359,366,381,395,408
218,Cornwall,17,31,Litchfield,306,NHCOG,3,NHCOG,R,,234,237,241,245,249
219,Cornwall,17,31,Litchfield,306,NHCOG,3,NHCOG,R,,243,246,250,254,258
220,Cornwall,17,31,Litchfield,306,NHCOG,3,NHCOG,R,,734,740,754,767,780
221,Cornwall,17,31,Litchfield,306,NHCOG,3,NHCOG,R,,176,177,180,184,187
222,Warren,18,149,Litchfield,322,NHCOG,3,NHCOG,R,,535,554,592,628,664
223,Warren,18,149,Litchfield,322,NHCOG,3,NHCOG,R,,419,434,463,492,520
224,Warren,18,149,Litchfield,322,NHCOG,3,NHCOG,R,,291,301,321,342,361
225,Warren,18,149,Litchfield,322,NHCOG,3,NHCOG,R,,172,178,190,201,213
226,Washington,19,150,Litchfield,323,NHCOG,3,NHCOG,R,,715,718,722,725,728
227,Washington,19,150,Litchfield,323,NHCOG,3,NHCOG,R,,703,706,711,714,716
228,Washington,19,150,Litchfield,323,NHCOG,3,NHCOG,R,,829,832,838,842,845
229,Washington,19,150,Litchfield,323,NHCOG,3,NHCOG,R,,650,653,657,660,662
230,Washington,19,150,Litchfield,323,NHCOG,3,NHCOG,R,,569,571,574,577,579
231,Roxbury,20,119,Litchfield,317,NHCOG,3,NHCOG,R,,205,214,231,247,264
232,Roxbury,20,119,Litchfield,317,NHCOG,3,NHCOG,R,,432,450,486,522,557
233,Roxbury,20,119,Litchfield,317,NHCOG,3,NHCOG,R,,961,1001,1081,1160,1237
234,Roxbury,20,119,Litchfield,317,NHCOG,3,NHCOG,R,,589,614,663,711,758
235,Bridgewater,21,16,Litchfield,303,WestCOG,1,HVMPO,2,,442,445,452,458,464
236,Bridgewater,21,16,Litchfield,303,WestCOG,1,HVMPO,2,,763,768,779,790,801
237,Bridgewater,21,16,Litchfield,303,WestCOG,1,HVMPO,2,,247,249,252,256,259
238,Bridgewater,21,16,Litchfield,303,WestCOG,1,HVMPO,2,,207,209,212,215,218
239,Brookfield,22,18,Fairfield,103,WestCOG,1,HVMPO,2,,2380,2456,2607,2754,2899
240,Brookfield,22,18,Fairfield,103,WestCOG,1,HVMPO,2,,3985,4112,4364,4611,4854
241,Brookfield,22,18,Fairfield,103,WestCOG,1,HVMPO,2,,2408,2485,2638,2787,2934
242,Brookfield,22,18,Fairfield,103,WestCOG,1,HVMPO,2,,2134,2203,2337,2470,2600
243,Brookfield,22,18,Fairfield,103,WestCOG,1,HVMPO,2,,1577,1628,1728,1826,1922
244,Brookfield,22,18,Fairfield,103,WestCOG,1,HVMPO,2,,4659,4808,5103,5392,5676
245,Bethel,23,9,Fairfield,101,WestCOG,1,HVMPO,2,,1107,1132,1183,1232,1281
246,Bethel,23,9,Fairfield,101,WestCOG,1,HVMPO,2,,2199,2250,2351,2450,2547
247,Bethel,23,9,Fairfield,101,WestCOG,1,HVMPO,2,,1781,1823,1904,1984,2063
248,Bethel,23,9,Fairfield,101,WestCOG,1,HVMPO,2,,3239,3314,3462,3608,3751
249,Bethel,23,9,Fairfield,101,WestCOG,1,HVMPO,2,,1724,1765,1844,1921,1997
250,Bethel,23,9,Fairfield,101,WestCOG,1,HVMPO,2,,3079,3150,3292,3430,3566
251,Bethel,23,9,Fairfield,101,WestCOG,1,HVMPO,2,,1263,1292,1350,1407,1463
252,Bethel,23,9,Fairfield,101,WestCOG,1,HVMPO,2,,3112,3184,3326,3466,3604
253,Bethel,23,9,Fairfield,101,WestCOG,1,HVMPO,2,,2025,2072,2165,2256,2345
254,Redding,24,116,Fairfield,114,WestCOG,1,HVMPO,2,,2094,2153,2269,2382,2494
255,Redding,24,116,Fairfield,114,WestCOG,1,HVMPO,2,,1275,1310,1381,1449,1517
256,Redding,24,116,Fairfield,114,WestCOG,1,HVMPO,2,,3033,3118,3285,3450,3611
257,Redding,24,116,Fairfield,114,WestCOG,1,HVMPO,2,,2891,2972,3131,3288,3442
258,Weston,25,157,Fairfield,121,WestCOG,1,SWRMPO,1,,1513,1553,1630,1707,1782
259,Weston,25,157,Fairfield,121,WestCOG,1,SWRMPO,1,,422,432,454,475,496
260,Weston,25,157,Fairfield,121,WestCOG,1,SWRMPO,1,,2367,2429,2551,2670,2787
261,Weston,25,157,Fairfield,121,WestCOG,1,SWRMPO,1,,3796,3895,4090,4281,4469
262,Weston,25,157,Fairfield,121,WestCOG,1,SWRMPO,1,,2289,2348,2466,2581,2695
263,Westport,26,158,Fairfield,122,WestCOG,1,SWRMPO,1,,2331,2359,2414,2468,2522
264,Westport,26,158,Fairfield,122,WestCOG,1,SWRMPO,1,,3114,3152,3226,3298,3369
265,Westport,26,158,Fairfield,122,WestCOG,1,SWRMPO,1,,2106,2131,2181,2230,2278
266,Westport,26,158,Fairfield,122,WestCOG,1,SWRMPO,1,,3378,3418,3498,3577,3654
267,Westport,26,158,Fairfield,122,WestCOG,1,SWRMPO,1,,2810,2844,2910,2976,3040
268,Westport,26,158,Fairfield,122,WestCOG,1,SWRMPO,1,,1427,1444,1478,1511,1544
269,Westport,26,158,Fairfield,122,WestCOG,1,SWRMPO,1,,2880,2914,2983,3050,3115
